mus मुस
nasihat	नसीहत
mukt	मुक्त
jhapti	जपती
vakiyaan	वखियाँ
vaim	वैं
jacob	जैकब
chupchaap	चुपचाप
vaid	वैद
aakarxo	आंकड़ों
mukh	मुख
vain	वैं
dikhalaati	दिखलाती
sangitik	संगीतिक
maddham	मद्धम
betiyaan	बेटियाँ
vali	वाली
muntazir	मुन्तज़िर
sajaunga	सजाऊँगा
damon	दामों
vale	वाले
gulshan	गुलशन
lalaa	लला
piichhaa	पीछा
vala	वाला
kekaratuu	केकरतू
lagegii	लगेगी
muni	मुनि
munh	मुंह
poojanaa	पूजना
munu	मुनू
daraate	डराते
uljhaaye	उलझाये
tadpale	तड़पाले
rukmini	रुक्मिनी
daraata	डराता
cyclist	सायकिलिस्ट**
puuchhatii	पूछती
nyuntam	न्यूनतम
pilaane	पिलाने
teetar	तीतर
isee	इसी
capala	चपल
pijiye	पीजिये
vaky	वाकये
dhondibaa	धोंडीबा
vakt	वक्त
pilaana	पिलाना
samah	समा
astachal	अस्ताचल
pehchaanti	पहचानती
saman	सामान
naajo	नाजो
uthaungi	उठाऊँगी
pehchaante	पह्चानते
samaj	समाज
chikbuk	चिक्बुक
paalanhaare	पालनहारे
samanghta	समझता
pheraa	फेरा
zalaa	ज़ला
samay	समय
paalanhaara	पालनहारा
sagara	सगरा
samar	समर
batiyate	बतियाते
potter	पॉटर
naaji	नाजी
aankkhon	आँखों
yoonhi	यूँही
kehete	कहते
bataayein	बताएँ
keheti	कहती
sagari	सगरी
besamaan	बेसमान
thumake	ठुमके
dikhaayunga	दिखायुंगा
thumaka	ठुमका
barabaadee	बर्बादी
samajhoon	समझूँ
bayaan	बयान
naakh	नाख
muyi	मुई
pramanit	प्रमाणित
namrata	नम्रता
kaieen	कई
muya	मुआ
bajaanaa	बजाना
giridhaari	गिरधारी
svar	स्वर
betaar	बेतार
kataaksh	कटाक्ष
chanaab	चनाब
inase	इनसे
graduation	ग्रेजुएशन**
naahi	नाहीं
banawaaye	बनवाये
muze	मुझे
samajhaatee	समझाती
chhupegaa	छुपेगा
darvajo	दरवाजे
balkhayein	बलखायें
swagat	स्वागत
maakhan	माखन
shrringaar	श्रृंगार
panjaab	पंजाब
muskaraaenge	मुस्कराएंगे
betaab	बेताब
lipten	लिपटें
Surjeet	सुरजीत
nihaarun	निहारूँ
samaa	समा
samet	समेत
Rajya	राज्य
jadha	जाड़ा
doshi	दोशी
paayuunga	पाऊंगा
pilaata	पिलाता
sanwaarne	सँवारने
kirana	किराना
udhaani	उधानी
musu	मुसू
kirane	किराने
jadhi	झड़ी
must	मस्ट
aawasyak	आवश्यक
vaqt	वक़्त
lakdi	लकड़ी
suze	सुझे
mubaham	मुबहम
jaanoon	जानूँ
patrakaaron	पत्रकारों
dijeeyegaa	दीजियेगा
ghabaraaegi	घबराएगी
hisaab	हिसाब
tvaam	त्वाम्
muskuraaenge	मुस्कुराएंगे
keral	केरल
yaar	यार
aramanon	अरमानों
tanhaaiyaan	तनहाइयाँ
naitaaon	नेताओं
arovikshan	अरोविकासन
ghus	घुस
ghup	घुप
paseena	पसीना
railway	रेलवे
ghun	घुं
kirapa	किरपा
ghul	घुल
pocha	पूछा
ghum	घुं
chheduun	छेड़ूँ
muui	मुई
vark	वर्ग
jismon	जिस्मों
kumhalaae	कुम्हलाए
muul	मूल
varg	वर्ग
paseene	पसीने
vari	वारी
payaar	पयार
muun	मूँ
payaas	प्यास
majabuurii	मजबूरी
kajaraa	कजरा
ghut	घुट
nazaraanaa	नज़राना
payaam	पयाम
rangaton	रनगातो
samajhaataa	समझाता
nirdeshak	निर्देशक
saikal	साईकल
puuchhataa	पूछता
nirdeshan	निर्देशन
naada	नाड़ा
vasl	वस्ल
pilaaun	पिलाऊं
yaaro	यारो
yaari	यारी
sagali	संगली
mahakaayengin	महकाएँगीं
parinde	परिंदे
zehreelen	ज़हरीले
girebaanon	गिरेबानों
bataayega	बताएगा
parinda	परिन्दा
barahaaman	बरहामन
sagama	सगम
sholaafashaani	शोलाफ़शानी
liptaa	लिपटा
dilajaani	दिलजानी
parindo	परिंदों
nageena	नगीना
yaara	यार
besamajh	बेसमझ
nishaana	निशाना
samja	समझा
suut	सूट
nishaane	निशाने
khudagarzi	खुदगर्ज़ी
maanataayein	मानताएँ
nishaani	निशानी
naare	नारे
pilaaya	पिलाया
samjh	समझ
jhooma	झूमा
nabeen	नबीं
naari	नारी
pilaaye	पिलाये
samje	समझ
banawaasi	बनवासी
lakho	लाखों
jhoome	झूमे
vyavahaar	व्यवहार
ghou	घौ
ghor	घोर
nirdeshon	निर्देशन
ghon	घों
dosto	दोस्तों
ghoo	घू
jhoolo	झूलो
durghatna	दुर्घटना
kaliyo	कलियों
samit	समिति
badnam	बदनाम
khuubasurat	खूबसूरत
boloon	बोलूँ
jhoola	झूला
Chinmayanand	चिन्मयानन्द
kaliya	कालिया
banawaari	बनवारी
hemaa	हेमा
bisraana	बिसराना
jhoole	झूले
achakaaye	अचकाए
lakir	लकीर
naata	नाता
naate	नाते
bhuliyegaa	भूलिएगा
tapakataa	टपकता
inako	इनको
anudaan	अनुदान
dagamaga	डगमगा
samajhoge	समझोगे
culture	कल्चर**
inaka	इनका
takati	तकती
tadpaao	तड़पाओ
inake	इनके
chhorava	छोरवा
takate	ताकते
inaki	इनकी
naapi	नापी
takata	तकता
pakadanaa	पकड़ना
bahakanaa	बहकना
adhyakshata	अध्यक्षता
meihne	मैंने
tanaana	तनाना
protsaahit	प्रोत्साहित
ghaagariya	घागरिया
ghataoon	घटाओं
mehefil	महफ़िल
rumal	रुमाल
dosti	दोस्ती
naara	नारी
suyi	सुई
nibhayenge	निभाएँगे
thaara	थारा
thighs	थाइ’स**
jhoomo	झूमो
thaare	तारे
duwaao	दुवाओ
naana	नाना
duwaan	दुवान
kampaniyaa	कम्पनियाँ
qisamat	क़िसमत
rajasthan	राजस्थान
mantaa	मानता
samne	सामने
yaayi	याई
naani	नानी
pateria	पटेरिया
varshon	वर्षों
teesra	तीसरा
payala	प्याला
daawaa	दावा
teesre	तीसरे
bawjood	बावजूद
suuryanamaskaar	सूर्यनमस्कार
teesri	तीसरी
naanv	नांव
tilon	टीलों
palein	पलें
daawat	दावत
vazu	वज़ू
bhejungaa	भेजूंगा
suru	शुरु
baathchit	बातचीत
inape	इनपे
priyaa	प्रिया
barabaadii	बरबादी
adhyakshataa	अध्यक्षता
jadaa	जड़ा
jhooka	झोंका
suta	सुता
naale	नाले
musibataan	मुसीबतें
suuraj	सूरज
aayengin	आएँगीं
joraa	जोरा
naala	नाला
aayengii	आयेंगी
sust	सुस्त
pehachaan	पहचान
badhaatii	बढ़ाती
naalo	नालो
patiya	पतिया
suurat	सूरत
raajaaon	राजाओं
palegi	पलेगी
naame	नामे
naama	नाम
ghol	घोल
ghom	घों
inane	इनने
chunavaayuun	चुनवाऊँ
samma	समा
naami	नामी
khaamoshiyon	खामोशियों
swasthmantri	स्वास्थ्यमंत्री
kampaniyan	कम्पनियाँ
thaana	ठाना
suun	सुन
vichhohan	विछोहन
pukaroon	पुकारूँ
wapsi	वापसी
mehakaaya	महकाया
aitbaar	ऐतबार
mantar	मंतर
pannon	पन्नों
kaamoosh	ख़ामोओश
aaoongi	आऊँगी
mukhael	मिखाइल
salon	सालों
qaabu	काबू
Patel	पटेल
banayen	बनायें
aaoonga	आऊँगा
badmaashi	बदमाशी
udayi	उड़ाई
thanedaar	थानेदार
ghanashyam	घनश्याम
chinmayanad	चिन्मयानन्द
sanbhaaluun	संभालूँ
utarega	उतरेगा
fariyad	फ़रियाद
jaddoogari	जादूगरी
maryaada	मर्यादा
sunkar	सुनकर
bulon	बुलबुलों
dovashiyo	दोवासियों
sunu	सुनु
bologe	बोलोगे
udaye	उड़ाए
mahekaaye	महकाए
udaya	उड़ाया
bhayyiyaa	भैया
suno	सुन
tilak	तिलक
utaregi	उतरेगी
suni	सुनी
sune	सुने
chilamanase	चिलमनसे
sung	संग
suna	सुना
uthakar	उठकर
bahubal	बहुबल
thumak	ठुमक
barsenge	बरसेंगे
daley	डाले
juuta	जूता
kataakar	कटाकर
juuti	जूती
juuth	जूठ
juute	जूते
nihaarein	निहारें
summ	सुम्म
manter	मंतर
Goron	गौरों
suma	सुमा
tohamat	तोहमत
astaraan	अस्तराँ
solahavaan	सोलहवां
Amriki	अमरीकी
lautakar	लौटकर
madina	मदीना
tumhaaro	तुम्हारो
lagaayenge	लगाएंगे
editing	एडीटिंग**
andhiyaala	अंधियाला
sula	सुला
tumhaari	तुम्हारी
patango	पतंगो
pheron	फेरों
suli	सूली
qalandar	कलन्दर
tumhaara	तुम्हारे
tumhaare	तुम्हारे
jabse	जबसे
damaadam	दमादम
naati	नाटी
patange	पतंगे
suku	सुकु
lubhaa	लुभा
patanga	पतंगा
siski	सिसकी
gaaenge	गाएंगे
mukhade	मुखड़े
mukhada	मुखड़ा
sukh	सुख
hulchal	हलचल
karayegi	कराएगी
naaraayanan	नारायणन
sunahara	सुनहरा
paraayaa	पराया
kataksha	कटाक्ष
zamaanevaale	ज़मानेवाले
taabeer	ताबीर
jiyarava	जियरवा
suje	सूझे
savera	सवेरा
bahrat	भारत
besharam	बेशरम
lapete	लपेटे
nibhaayuunga	निभाऊंगा
savere	सवेरे
lapeta	लपेटा
nibhaayuungi	निभाऊंगी
sagayi	सगाई
dikhte	दिखते
suhi	सूही
vidheyak	विधायक
dikhti	दिखती
suhm	सुहम
stepi	स्टिपी
baaksar	बाक्सर
sajanvaa	सजनवा
dikhta	दिखता
mariye	मरिये
gathan	गठन
chhupegii	छुपेगी
hinndola	हिंडोला
sangraha	संग्रह
dikhayegi	दिखाएगी
Kuchh	कुछ
sevayen	सेवाएँ
dikhayega	दिखाएगा
vaapasi	वापसी
madira	मदिरा
zakhm	ज़ख्म
paaiyega	पाइयेगा
khushiyo	खुशियों
jabin	जबीं
senaa	सेना
rajnigandha	रजनीगंधा
khushiya	खुशियाँ
avsaro	अवसरों
husnavaale	हुस्नवाले
dalne	डालने
sakungi	सकूँगी
himapat	हिमपात
lamahon	लम्हों
sakunga	सकूँगा
seetaan	सीतान
manzilein	मंज़िलें
zingagi	ज़िंगगी
beqaraarii	बेकरारी
chukaayen	चुकाएं
khreedoge	ख़रीदोगे
maanasarovar	मानसरोवर
pherin	फेरीं
barabad	बरबाद
saraahogi	सराहोगी
gannaa	गन्ना
lambu	लम्बू
upakaran	उपकरण
steti	स्टिपी
november	नवम्बर
lamba	लम्बा
such	सच
dhitang	धितंग
zakmi	ज़ख़्मी
lambe	लम्बे
lambi	लम्बी
barabar	बराबर
barabas	बरबस
ujiyala	उजियल
garajtaa	गरजता
karyein	करें
beqaraaron	बेक़रारों
sharaaraa	शरारा
tamahid	तमहीद
bataauun	बताऊं
upanirikshak	उपनिरीक्षक
paraayin	परायीन
hasrath	हसरत
nataraaja	नटराजा
bhaanja	भांजा
subh	सुबह
kushiyon	ख़ुशियों
kumhalayi	कुम्हलयी
steve	स्टीव
mahekaaun	महकाऊं
tabasuum	तबसूम
nachaayaa	नचाया
naseebonvaalii	नसीबोंवाली
jaanoge	जानोगे
bunati	बुनती
irak	इराक
nazdikiyaan	नज़दीकियाँ
siyaabar	सियाबर
bunate	बुनते
iraq	इराक
sachchaayi	सच्चाई
ansuva	अँसुवा
wapas	वापस
baraati	बराती
vidaayi	विदाई
malika	मलिका
khinch	खींच
bulao	बुलाओ
35	35
dikhalaana	दिखलाना
dikhalaane	दिखलाने
tadape	तड़पे
pahunchaayenge	पहुँचाएँगे
42	42
tadapa	तड़पा
samasyao	समस्याओं
pakadte	पकड़ते
erak	इराक
mantra	मंत्र
charcha	चर्चा
shingaar	सिंगार
shivaaji	शिवाजी
lukka	लुक्क
22	22
24	24
tadapi	तड़पी
gustaakiyon	ग़ुस्ताख़ियों
26	26
charche	चर्चे
28	28
29	29
bulae	बुलाए
chhudaane	छुड़ाने
qaash	क़ाश
ummedo	उम्मीदों
30	30
bulaa	बुला
lagiyaan	लगियां
dikhla	दिखला
mantri	मंत्री
mukarte	मुकरते
daanaveer	दानवीर
chhudaana	छुड़ाना
parakhna	परखना
sevayon	सेवाओं
mukarta	मुकरता
kehlaaye	कहलाये
19	19
ummeed	उम्मीद
18	18
tamannaabar	तमन्नाबर
lalal	ललल
besharmi	बेशर्मी
daraaye	डराये
lalan	ललन
14	14
12	12
nibhayein	निभाएं
20	20
shivaala	शिवाला
chhupega	छुपेगा
2	2
sajaaun	सजाऊँ
jubaann	जुबाँ
chhupegi	छुपेगी
hindustaan	हिन्दुस्तान
gudeeyaan	गुड़िया
jubaani	जुबानी
praasangeek	प्रासंगिक
padana	पड़ना
joshi	जोशी
dikhne	दिखने
10	10
padane	पड़ने
suukhaa	सूखा
jinaa	जीना
doharaatee	दोहराती
qasmein	क़स्में
dikhalaaja	दिखलाजा
salam	सलाम
savaalii	सवाली
jalaaoge	जलाओगे
jinat	जीनत
bunana	बुनना
ansuon	अंसुओं
82	82
kawariyaan	कवरियाँ
faramaaoge	फ़रमाओगे
bholepan	भोलेपन
kritiman	कीर्तिमान
udane	उड़ने
sajaata	सजाता
saanehaa	सानेहा
udana	उड़ना
sajaate	सजाते
singar	सिंगार
sajaati	सजाती
uplabdh	उपलब्ध
mreen	म्रीं
mreem	म्रीं
ansuna	अनसुना
swapna	स्वपन
muqaam	मुक़ाम
ansuni	अनसुनी
sanvarataa	सँवरता
vinaash	विनाश
3x	तीन_num
58	58
udake	उड़के
jaaoongi	जाऊंगी
bunake	बुनके
ghagariyaa	गगरिया
janakapuri	जनकपुरी
khinij	खिनिज़
muuthe	मूठे
madhuubaalaa	मधूबाला
alwida	अलविदा
thumuk	ठुमक
karxaa	कड़ा
muuthi	मूठी
60	साठ_num
sunanewaala	सुननेवाला
pahanakar	पहनकर
jinda	जिंदा
dikhalaake	दिखलाके
45	45
kaanchaa	काँचा
naadaann	नादान
deeevanoin	दीवानों
uparavaalaa	ऊपरवाला
naadaani	नादानी
chaayee	छाये
jindu	जिन्दु
tagdi	तगड़ी
jiyara	जियरा
tagda	तगड़ा
qayenaat	कायनात
jaaoonga	जाऊंगा
jharna	झरना
tikka	तिक्का
qaazi	काज़ी
jharne	झरने
shradhha	श्रद्धा
hulchul	हलचल
giiton	गीतों
lalli	लाली
pahaunchi	पहुँची
thumka	ठुमका
lalla	लल्ला
parabhaat	परभात
sunahari	सुनहरी
sunahare	सुनहरे
sipaahii	सिपाही
padate	पड़ते
padata	पड़ता
jadugiri	जादूगरी
padati	पड़ती
lallu	लालू
baantein	बाँटें
naachenge	नाचेंगे
gunaahagaar	गुनाहगार
singaa	सिंगा
chalanevaalon	छलनेवालों
khilegaa	खिलेगा
sakuun	सकूं
shridhar	श्रीधर
chirchira	चिड़चिड़ा
sahalaata	सहलाता
paaongi	पाऊँगी
aadivasiyon	आदिवासियों
paaonga	पाऊँगा
udaoh	उड़ाओ
abhaage	अभागे
lalit	ललित
shamajhe	शामाझे
maawas	मावस
tikha	तीखा
khubsurat	खूबसूरत
waalequm	वालेक़ुम
santusht	संतुष्ट
chaayaa	चाया
rulaa	रुला
daman	दमन
tikhe	तीखे
tarhey	तारे
damak	दमक
89	89
tikhi	तीखी
swineflu	स्वाइनफ्लू**
parwaano	परवानों
puraqat	पुरक़त
phenkaa	फेंका
jabase	जबसे
kanton	काँटों
naachuun	नाचूँ
ulazaaoge	उलझाओगे
salim	सलीम
mukhail	मिखाइल
tadake	तड़के
phenkam	फेंकम
takaleef	तकलीफ़
sanawa	सनवा
chanave	चनवे
parwaane	परवाने
saaqiya	साक़िया
parwaana	परवाना
jalaaoon	जलाऊँ
stri	स्त्री
pehalu	पहलू
sense	सेन्स**
tikna	तिकना
pakadoo	पकड़ो
pehale	पहले
teeron	तीरों
piipal	पीपल
nighaahon	निगाहों
pehala	पहला
talawaaren	तलवारें
hindustan	हिन्दुस्तान
pehali	पहली
sadamein	सदमें
stop	स्टॉप
bulle	बुल्ले
chahenge	चाहेंगे
udata	उड़ता
sisak	सिसक
ori	ओरि
baanvariyaa	बांवरिया
sajaaya	सजाया
udasi	उदासी
sejiya	सेजिया
hindustani	हिन्दुस्तानी
ehsaan	एहसान
shiriiman	शिरीमन
pakadna	पकड़ना
sajaayi	सजाई
qusur	क़ुसूर
shringaar	श्रृंगार
sajaaye	सजाए
khayaalon	ख्यालों
dikhao	दिखाओ
dikhar	दिखर
salma	सलमा
pochhega	पोछेगा
pehana	पहना
tikli	टिकली
mahasoos	महसूस
dikhaa	दिखा
pehane	पहने
Rajan	विरजन
mahtaab	माहताब
mukhaatib	मुखातिब
udate	उड़ते
vahtul	वहतुल
dikhai	दिखाई
naainsaafi	नाइन्साफ़ी
udati	उड़ती
bhaave	भावे
jiyein	जियें
bhaava	भाव
museebaten	मुसीबतें
unnti	उन्नति
kaantaa	काँटा
vikrutiyon	विकृतियों
baaziya	बाजियाँ
chukaayenge	चुकाएँगे
paayaliyaa	पायलिया
samajhnaa	समझना
meherbaan	मेहरबान
hulaara	हुलारा
hasaraten	हसरतें
ugaaye	उगाये
rasiyaa	रसिया
sikhana	सिखाना
ugaaya	उगाया
qasoor	क़सूर
hangaama	हंगामा
machaate	मचाते
machaati	मचाती
unnse	उनसे
hangaame	हंगामे
badgumaan	बदगुमां
Dr	श्री
bijalii	बिजली
barsakar	बरसाकर
sochuun	सोचूँ
sandes	संदेस
kishti	किश्ती
tadpi	तड़पी
kishto	किस्तों
ashiyana	आशियाना
bitegaa	बीतेगा
jiyega	जियेगा
Es	इस
samjhaon	समझाऊं
sandeh	संदेह
dilajir	दिलजीर
tadpa	तड़पा
Ek	एक
ekdum	एकदम
buddhu	बुद्धू
sikhala	सिखला
salahakaar	सलाहकार
tadpe	तड़पे
khilti	खिलती
avashyakhta	अवश्यकता
bhaaye	भाये
lootaa	लूटा
ugaayi	उगाई
khilte	खिलते
nikalna	निकालना
nikalne	निकलने
vibhin	विभिन्न
khilta	खिलता
bhaaya	भाया
anguri	अन्गूरी
ishaaro	इशारों
hansoge	हँसोगे
inmein	इनमें
jhanki	झांकी
machaaya	मचाया
anjali	अंजली
raajasthaan	राजस्थान
machaaye	मचाए
samjhane	समझने
ishaare	इशारे
machaayi	मचाई
samjhana	समझना
bitaayuun	बिताऊँ
shinaaki	शिनाकी
dastoor	दस्तूर
machaayo	मचायो
sakoo	सकूँ
sakon	सकूँ
naamuraadon	नामुरादों
pienge	पिएँगे
pahchaante	पहचानते
jehan	जहाँ
jehar	जहर
ishaara	इशारा
anguur	अंगूर
Birjan	विरजन
fizaayein	फ़िज़ाएँ
rukhsat	रुख्सत
bonsai	बोंसाई
parikram	कार्यक्रम
nikalte	निकलते
Home	होम
kaarwaan	कारवां
monitor	मॉनिटर**
nikalta	निकलता
kaviyetri	कवियित्री
samajhaauun	समझाऊं
IIM	आईआईएम
nargis	नर्गिस
ansuan	अँसुअन
pachaas	पचास
daliyan	डालियाँ
nikalti	निकलती
uljhaao	उलझाओ
gaharai	गहराई
rukva	रुकवा
ishvar	इश्वर
nibhaaungaa	निबाहूँगा
kaahoon	काहूँ
ishqa	इश्क़ा
sansanaahat	सनसनाहट
sheikh	शेख
naadaan	नादान
Ab	अब
badaravaa	बदरवा
chubhein	चुभें
ishqt	इश्क़्त
kahalaavat	कहलावत
siten	सीटें
never	नेवेर
thera	तेरा
barasaae	बरसाए
anjana	अंजाना
kishor	किशोर
deewala	दीवाला
netratv	नेतृत्व
anjane	अनजाने
barasaat	बरसात
dekega	देखेगा
theri	तेरी
gaharaa	गहरा
anjani	अनजानी
deewali	दीवाली
barasaao	बरसाओ
situm	सितम
jaese	जैसे
biyosaa	बियोसा
rukta	रुकता
tatkal	तत्काल
jeeyenge	जियेंगे
lance	लांस
rukti	रुकती
aggath	अवगत
pachhataaogi	पछताओगी
MughalE	मुगले
rukte	रुकते
pachhataaoge	पछताओगे
gaanvon	गाँवों
matwaala	मतवाला
khilna	खिलना
jalwaagaah	जल्वागाह
matwaali	मतवाली
khilne	खिलने
gujrati	गुजराती
matwaale	मतवाले
kaanthi	कंठी
kanval	कंवल
deedaa	दीदा
nikalee	निकली
museebaton	मुसीबतों
prastab	प्रस्ताव
deewaar	दीवार
deedar	दीदार
jodenge	जोड़ेंगे
ubharte	उभरते
kaminiya	कमिनिया
prastav	प्रस्ताव
ubharta	उभरता
vanaathan	विश्वनाथन
chaalachalan	चालचलन
intezaar	इंतजार
vibhag	विभाग
sansein	साँसें
star	स्तर
uljhano	उलझनों
prasanan	प्रसारण
machaane	मचाने
machaana	मचाना
nikalen	निकलें
kahalaaye	कहलाये
khayenge	खाएंगे
kahalaaya	कहलाया
khilli	खिल्लि
masarrat	मसर्रत
sambhag	संभाग
royega	रोयेगा
royegi	रोएगी
nikalke	निकलके
chhoda	छोड़
tadap	तड़प
tadak	तड़क
maanegaa	मानेगा
viraaniyaan	वीरानियाँ
chhode	छोड़े
ओ	वो
sambhav	संभव
chhodi	छोड़ी
chhodh	छोड़
dayaar	दयार
chhodo	छोड़ो
vafaadaaron	वफ़ादारों
erade	एरदे
rakhwale	रख्वले
sambhal	संभाल
kaanten	काँटें
chhodu	छोड़ू
ungaliyon	उंगलियों
badoti	बढ़ोत्तरी
savaalon	सवालों
khilii	खिली
parawaradigaar	परवरदिगार
khilin	खिलीं
badanasiib	बदनसीब
giitaa	गीता
ghatnayen	घटना
pasarey	पसारे
ruumaal	रूमाल
sikhate	सिखाते
nikalii	निकली
gaddiyaan	गद्दियाँ
diwani	दीवानी
ruuthe	रूठे
diwane	दीवाने
royein	रोयें
phuhaarein	फुहारें
Iss	इस
ruutha	रूठा
bajaakar	बजाकर
diwana	दीवाना
nainya	नैंया
sakun	सकूँ
rukna	रुकना
rukne	रुकने
sitamagaaron	सितमगारों
diwano	दीवनो
matwaare	मतवारे
sakte	सकते
mohabbatein	मोहब्बतें
sakta	सकता
suutro	सूत्रों
satbudh	सदबुद्ध
sakti	सकती
ruuthi	रूठी
ruutho	रूठो
jhuuthon	झूठों
chhatiyaa	छतिया
itna	इतना
kanchan	कंचन
lamha	लम्हा
lamhe	लम्हे
sakat	सकत
rusava	रुसवा
muskuuraana	मुस्कराना
sakal	सकल
jaagengi	जागेंगी
jaagenge	जागेंगे
doule	डबल
maazandaraan	माज़न्दरान
thee	थी
majanu	मजनू
samjhaao	समझाओ
bhaamph	भाँप
taarif	तारीफ़
vakaalat	वकालत
maroonga	मरूँगा
beqadar	बेक़दर
jabeen	जबीन
ghutne	घुटने
itne	इतना
keshara	केशारा
itni	इतनी
kaabaataraan	काबातराँ
giridhari	गिरधारी
bimaaron	बीमारों
nadiya	नदिया
taaren	तारे
rukhi	रूखी
ladaayi	लड़ाई
theem	थीं
ladaaye	लड़ाए
messrs	मेसर्स**
sakaa	सका
theen	थीं
rukja	रुक
theek	ठीक
